League,Team,Location,Stadium,Capacity
Premier League,AFC Bournemouth,Bournemouth,AFC Bournemouth,"11,464"
Premier League,Arsenal,London,Emirates Stadium,"60,432"
Premier League,Burnley,Burnley,Turf Moor,"22,546"
Premier League,Chelsea,London,Stamford Bridge,"41,623"
Premier League,Crystal Palace,London,Selhurst Park,"26,309"
Premier League,Everton,Liverpool,Goodison Park,"40,569"
Premier League,Hull City,Hull,KC Stadium,"25,404"
Premier League,Leicester City,Leicester,King Power Stadium,"32,500"
Premier League,Liverpool,Liverpool,Anfield,"54,167"
Premier League,Manchester City,Manchester,City of Manchester Stadium,"55,097"
Premier League,Manchester United,Manchester,Old Trafford,"76,100"
Premier League,Middlesbrough,Middlesbrough,Riverside Stadium,"35,100"
Premier League,Southampton,Southampton,St Mary's Stadium,"32,689"
Premier League,Stoke City,Stoke-on-Trent,Bet365 Stadium,"28,383"
Premier League,Sunderland,Sunderland,Stadium of Light,"49,000"
Premier League,Swansea City,Swansea,Liberty Stadium,"20,972"
Premier League,Tottenham Hotspur,London,White Hart Lane,"36,274"
Premier League,Watford,Watford,Vicarage Road,"21,977"
Premier League,West Bromwich Albion,West Bromwich,The Hawthorns,"26,500"
Premier League,West Ham United,London,Olympic Stadium,"57,000"
Championship,Aston Villa,Birmingham,Villa Park,"42,682"
Championship,Barnsley,Barnsley,Oakwell,"23,009"
Championship,Birmingham City,Birmingham,St Andrew's,"30,016"
Championship,Blackburn Rovers,Blackburn,Ewood Park,"31,367"
Championship,Brentford,London,Griffin Park,"12,300"
Championship,Brighton & Hove Albion,Brighton and Hove,AMEX Stadium,"30,750"
Championship,Bristol City,Bristol,Ashton Gate,"27,000"
Championship,Burton Albion,Burton,Pirelli Stadium,"6,912"
Championship,Cardiff City,Cardiff,Cardiff City Stadium,"33,280"
Championship,Derby County,Derby,iPro Stadium,"33,597"
Championship,Fulham,London,Craven Cottage,"25,700"
Championship,Huddersfield Town,Huddersfield,John Smith's Stadium,"24,500"
Championship,Ipswich Town,Ipswich,Portman Road,"30,311"
Championship,Leeds United,Leeds,Elland Road,"37,914"
Championship,Newcastle United,Newcastle,St James' Park,"52,354"
Championship,Norwich City,Norwich,Carrow Road,"27,244"
Championship,Nottingham Forest,Nottingham,City Ground,"30,445"
Championship,Preston North End,Preston,Deepdale,"23,404"
Championship,Queens Park Rangers,London,Loftus Road,"18,439"
Championship,Reading,Reading,Madejski Stadium,"24,161"
Championship,Rotherham United,Rotherham,New York Stadium,"12,021"
Championship,Sheffield Wednesday,Sheffield,Hillsborough,"39,732"
Championship,Wigan Athletic,Manchester,DW Stadium,"25,138"
Championship,Wolverhampton Wanderers,Wolverhampton,Molineux,"31,700"
League One,AFC Wimbledon,London,Kingsmeadow,"4,850"
League One,Bolton Wanderers,Bolton,Macron Stadium,"28,723"
League One,Bradford City,Bradford,Valley Parade,"25,136"
League One,Bristol Rovers,Bristol,Memorial Stadium,"12,011"
League One,Bury,Bury,Gigg Lane,"11,840"
League One,Charlton Athletic,London,The Valley,"27,111"
League One,Chesterfield,Chesterfield,Proact Stadium,"10,400"
League One,Coventry City,Coventry,Ricoh Arena,"32,500"
League One,Fleetwood Town,Fleetwood,Highbury Stadium,"5,311"
League One,Gillingham,Gillingham,Priestfield Stadium,"11,582"
League One,Milton Keynes Dons,Milton Keynes,Stadium:mk,"30,500"
League One,Millwall,London,The Den,"20,146"
League One,Northampton Town,Northampton,Sixfields Stadium,"7,653"
League One,Oldham Athletic,Oldham,Boundary Park,"13,309"
League One,Oxford United,Oxford,Kassam Stadium,"12,500"
League One,Peterborough United,Peterborough,London Road Stadium,"14,319"
League One,Port Vale,Stoke-on-Trent,Vale Park,"18,947"
League One,Rochdale,Rochdale,Spotland Stadium,"10,249"
League One,Scunthorpe United,Scunthorpe,Glanford Park,"9,183"
League One,Sheffield United,Sheffield,Bramall Lane,"32,702"
League One,Shrewsbury Town,Shrewsbury,New Meadow,"9,875"
League One,Southend United,Southend,Roots Hall,"12,392"
League One,Swindon Town,Swindon,County Ground,"15,728"
League One,Walsall,Walsall,Bescot Stadium,"11,300"
League Two,Accrington Stanley,Accrington,Crown Ground,"5,057"
League Two,Barnet,London,Barnet FC Training Ground,"5,233"
League Two,Blackpool,Blackpool,Bloomfield Road,"16,750"
League Two,Cambridge United,Cambridge,Abbey Stadium,"9,617"
League Two,Carlisle United,Carlisle,Brunton Park,"16,981"
League Two,Cheltenham Town,Cheltenham,Whaddon Road,"7,066"
League Two,Colchester United,Colchester,Colchester Community Stadium,"10,105"
League Two,Crawley Town,Crawley,Broadfield Stadium,"6,134"
League Two,Crewe Alexandra,Crewe,Gresty Road,"10,153"
League Two,Doncaster Rovers,Doncaster,Keepmoat Stadium,"15,231"
League Two,Exeter City,Exeter,St James Park,"8,830"
League Two,Grimsby Town,Cleethorpes,Blundell Park,"9,062"
League Two,Hartlepool United,Hartlepool,Victoria Park,"7,856"
League Two,Leyton Orient,London,Brisbane Road,"9,271"
League Two,Luton Town,Luton,Kenilworth Road,"10,356"
League Two,Mansfield Town,Mansfield,Field Mill,"8,200"
League Two,Morecambe,Morecambe,Globe Arena,"6,476"
League Two,Newport County,Newport,Rodney Parade,"7,850"
League Two,Notts County,Nottingham,Meadow Lane,"19,588"
League Two,Plymouth Argyle,Plymouth,Home Park,"17,767"
League Two,Portsmouth,Portsmouth,Fratton Park,"20,662"
League Two,Stevenage,Stevenage,Broadhall Way,"6,722"
League Two,Wycombe Wanderers,High Wycombe,Adams Park,"10,284"
League Two,Yeovil Town,Yeovil,Huish Park,"9,565"
